Episode Number,Total Reward,Running Average,p,i,d,joint index
206,-2.5326397052395353,-4.724157851618368,17396.041015625,9.86293002824823e-07,80.50032806396484,1
207,-2.533050877166691,-4.702246781873851,17686.798828125,9.862976639851695e-07,79.64632415771484,1
208,-2.5332036441320764,-4.680556350496433,17880.255859375,9.862976639851695e-07,79.12288665771484,1
209,-2.5330048473997606,-4.659080835465466,17883.001953125,9.862939123195247e-07,79.41215515136719,1
210,-2.532996823899031,-4.637819995349802,17981.369140625,9.862893648460158e-07,79.37493896484375,1
211,-2.5334689398749886,-4.616776484795054,18069.642578125,9.862854994935333e-07,79.33157348632812,1
212,-2.5342168057642387,-4.5959508880047455,18226.203125,9.862854994935333e-07,78.88472747802734,1
213,-2.534089604217433,-4.575332275166873,18339.53515625,9.862911838354194e-07,78.5657958984375,1
214,-2.5328889737633604,-4.554907842152838,18183.9609375,9.86282771009428e-07,79.43547821044922,1
215,-2.533667205272592,-4.534695435784036,18183.9609375,9.86282771009428e-07,79.7427749633789,1
216,-2.5324361415966927,-4.514672842842162,18424.787109375,9.86282771009428e-07,79.30184936523438,1
217,-2.532518336706993,-4.49485129778081,18352.185546875,9.862817478278885e-07,79.86862182617188,1
218,-2.5322994288674,-4.475225779091676,18341.7578125,9.862939123195247e-07,79.9912338256836,1
219,-2.5317176591197805,-4.455790697891957,18369.783203125,9.862967544904677e-07,79.89859008789062,1
220,-2.532490590970435,-4.436557696822741,18444.900390625,9.862967544904677e-07,79.7513656616211,1
221,-2.5335365408261343,-4.417527485262775,18608.791015625,9.863099421636434e-07,79.25232696533203,1
222,-2.5320835386969103,-4.398673045797116,18617.169921875,9.863099421636434e-07,79.3228759765625,1
223,-2.5318948364575995,-4.380005263703721,18719.486328125,9.863118748398847e-07,78.98684692382812,1
224,-2.5332043229881,-4.3615372542965645,18871.236328125,9.86326881502464e-07,78.50186920166016,1
225,-2.533027953950093,-4.3432521612931,18855.333984375,9.86326881502464e-07,78.71289825439453,1
226,-2.532985996929698,-4.325149499649466,18869.599609375,9.863344985205913e-07,78.77800750732422,1
227,-2.5320274551879476,-4.307218279204851,19005.75390625,9.863429113465827e-07,78.30107879638672,1
228,-2.5328739941321574,-4.289474836354124,18904.90234375,9.863390459941002e-07,78.75960540771484,1
229,-2.5317092128876415,-4.271897180119459,18891.080078125,9.863382501862361e-07,79.01083374023438,1
230,-2.531879424463958,-4.254497002562903,18964.564453125,9.863382501862361e-07,78.85832977294922,1
231,-2.5324741701745603,-4.23727677423902,19023.435546875,9.863382501862361e-07,78.98963165283203,1
232,-2.5322426263951083,-4.220226432760581,19102.482421875,9.863382501862361e-07,79.02142333984375,1
233,-2.532097566411157,-4.203345144097088,19407.224609375,9.863382501862361e-07,78.01225280761719,1
234,-2.5328728222339447,-4.186640420878456,19572.0703125,9.863382501862361e-07,77.68380737304688,1
235,-2.5311563002873423,-4.170085579672545,19468.84375,9.863373406915343e-07,78.29772186279297,1
236,-2.5322043184395615,-4.153706767060215,19493.478515625,9.863373406915343e-07,78.59632873535156,1
